ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold
2,الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين.  الوضع الحالي اقبح صور تسليع المرأه تحت مسمى تمكين المرأه!  #مقاطعة_شاهي_خدير,Women empowerment,الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين.  الوضع الحالي اقبح صور تسليع المرأه تحت مسمى تمكين المرأه!  #مقاطعة_شاهي_خدير,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين.  الوضع الحالي اقبح صور تسليع المرأه تحت مسمى تمكين المرأه!  #مقاطعة_شاهي_خدير,,الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين.  الوضع الحالي اقبح صور تسليع المرأه تحت مسمى تمكين المرأه!  #مقاطعة_شاهي_خدير,Women empowerment,1.0,1.0,1.0,2022-01-26 21:46:08+00:00,26/01/2022,0,0,0.99902344,0.00042700768,0.000729084,2
2,الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين.  الوضع الحالي اقبح صور تسليع المرأه تحت مسمى تمكين المرأه!  #مقاطعة_شاهي_خدير,Women empowerment,الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين. الوضع الحالي اقبح صور تسليع المراه تحت مسمي تمكين المراه! #مقاطعة شاهي خدير,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: الوضع صار بالسعوديه يفشل لا عاد فيه شركات صاحيه ولا مشاهير صاحين. الوضع الحالي اقبح صور تسليع المراه تحت مسمي تمكين المراه! #مقاطعة شاهي خدير,,,,,,,,,0,0,0.9975586,0.0012054443,0.0012073517,4
64,"من أسباب ""تمكين"" المرأة المزعوم: ١-أن تستفيد الدولة الرأسمالية من الضرائب والأجور التي ستدفعها المرأة بجانب الرجل  أي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-إلغاء الأسرة وترسية قيم الفردية والأنانية وأبوية النظام (النظام هو الأب والأسرة) بلغوا من تتشدق بـ ""أنا حرة""",Women empowerment,"من أسباب ""تمكين"" المرأة المزعوم: ١-أن تستفيد الدولة الرأسمالية من الضرائب والأجور التي ستدفعها المرأة بجانب الرجل  أي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-إلغاء الأسرة وترسية قيم الفردية والأنانية وأبوية النظام (النظام هو الأب والأسرة) بلغوا من تتشدق بـ ""أنا حرة""",Women empowerment,Against,0,Negative,0,Yes,1,,A_Explicit,,"Target: Women empowerment Text: من أسباب ""تمكين"" المرأة المزعوم: ١-أن تستفيد الدولة الرأسمالية من الضرائب والأجور التي ستدفعها المرأة بجانب الرجل  أي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-إلغاء الأسرة وترسية قيم الفردية والأنانية وأبوية النظام (النظام هو الأب والأسرة) بلغوا من تتشدق بـ ""أنا حرة""",,"من أسباب ""تمكين"" المرأة المزعوم: ١-أن تستفيد الدولة الرأسمالية من الضرائب والأجور التي ستدفعها المرأة بجانب الرجل  أي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-إلغاء الأسرة وترسية قيم الفردية والأنانية وأبوية النظام (النظام هو الأب والأسرة) بلغوا من تتشدق بـ ""أنا حرة""",Women empowerment,1.0,0.8316,0.8361,2022-01-10 05:52:54+00:00,10/01/2022,0,0,1.0,8.666515e-05,0.00011301041,5
64,"من أسباب ""تمكين"" المرأة المزعوم: ١-أن تستفيد الدولة الرأسمالية من الضرائب والأجور التي ستدفعها المرأة بجانب الرجل  أي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-إلغاء الأسرة وترسية قيم الفردية والأنانية وأبوية النظام (النظام هو الأب والأسرة) بلغوا من تتشدق بـ ""أنا حرة""",Women empowerment,"من اسباب ""تمكين"" المراة المزعوم: ١-ان تستفيد الدولة الراسمالية من الضرائب والاجور التي ستدفعها المراة بجانب الرجل اي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-الغاء الاسرة وترسية قيم الفردية والانانية وابوية النظام (النظام هو الاب والاسرة) بلغوا من تتشدق ب ""انا حرة""",Women empowerment,Against,0,Negative,0,Yes,1,,A_Explicit,,"Target: Women empowerment Text: من اسباب ""تمكين"" المراة المزعوم: ١-ان تستفيد الدولة الراسمالية من الضرائب والاجور التي ستدفعها المراة بجانب الرجل اي ستتضاعف الضرائب والعائدات لخزينة الدولة من المواطن ٢-الغاء الاسرة وترسية قيم الفردية والانانية وابوية النظام (النظام هو الاب والاسرة) بلغوا من تتشدق ب ""انا حرة""",,,,,,,,,0,0,0.98291016,0.00017380714,0.016860962,1
65,✴️تمكين المرأة اليوم: ١-تمكين الوصول إلى واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول إلى مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وإدارة وتربية أسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,Women empowerment,✴️تمكين المرأة اليوم: ١-تمكين الوصول إلى واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول إلى مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وإدارة وتربية أسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ✴️تمكين المرأة اليوم: ١-تمكين الوصول إلى واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول إلى مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وإدارة وتربية أسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,,✴️تمكين المرأة اليوم: ١-تمكين الوصول إلى واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول إلى مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وإدارة وتربية أسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,Women empowerment,1.0,1.0,0.7727,2022-01-16 20:04:16+00:00,16/01/2022,0,0,0.99853516,0.00040555,0.0011415482,1
65,✴️تمكين المرأة اليوم: ١-تمكين الوصول إلى واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول إلى مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وإدارة وتربية أسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,Women empowerment,✴️تمكين المراة اليوم: ١-تمكين الوصول الي واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول الي مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وادارة وتربية اسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ✴️تمكين المراة اليوم: ١-تمكين الوصول الي واستغلال وامتهان وتسليع جسدها ٢-تمكين الوصول الي مالها (الدولة) ٣-تمكين استغلال جهدها الجسدي والعقلي (استعباد) ٤-تمكين عزلها عن تكوين وادارة وتربية اسرة ٥-تمكين الانفراد بها فكرياً ٦-تمكين تمردها وضلالها ٧-تمكين الشياطين والدجال منها,,,,,,,,,0,0,0.99365234,0.0028743744,0.0036315918,3
116, تمكين المرأه  واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم  ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,Women empowerment,تمكين المراه واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: تمكين المراه واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,,,,,,,,,0,0,0.97558594,0.0146865845,0.0096588135,3
116, تمكين المرأه  واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم  ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,Women empowerment,تمكين المرأه  واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم  ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: تمكين المرأه  واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم  ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,, تمكين المرأه  واخر شي جامعيه كاشير ؟ لو ما انتي محتاجه اجلسي ببيتك اعز لك واكرم  ايش الشيء الي بتجنينه من الكاشير لا هو مجال دراستك ولا فيه تطوير لك,Women empowerment,1.0,0.7758,0.8807,2022-04-17 00:33:59+00:00,17/04/2022,0,0,0.9946289,0.0008068085,0.004348755,4
120, يارجال اي لقاحات مظروبه تطعمنى وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,Covid Vaccine,يارجال اي لقاحات مظروبه تطعمني وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: يارجال اي لقاحات مظروبه تطعمني وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,,,,,,,,,0,0,0.98339844,0.003873825,0.01260376,3
120, يارجال اي لقاحات مظروبه تطعمنى وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,Covid Vaccine,يارجال اي لقاحات مظروبه تطعمنى وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: يارجال اي لقاحات مظروبه تطعمنى وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,, يارجال اي لقاحات مظروبه تطعمنى وجاتنا كورونا وش الفايده.والله تطعيم الافلونزا بالمستوصف افضل من اللقاح,Covid Vaccine,0.8149,0.5807,0.8734,2021-04-17 13:49:13+00:00,17/04/2021,0,0,0.98583984,0.0036392212,0.010635376,3
