ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
572,   انا اتفقت مع زوجتي قبل ان تحمل .. ١.ان زوجتي ما تتطعم  بأي تطعيم سواء حق كورونا او تطعيمات الي تعطى للحامل . ٢.ان لا نطعم اي من اولادنا. ٣.ان يرضع ابني حليب الثدي فقط.ولا نعطيه اي حليب مجفف خاص بالاطفال.  ولكن للاسف شر,Covid Vaccine,انا اتفقت مع زوجتي قبل ان تحمل .. ١.ان زوجتي ما تتطعم باي تطعيم سواء حق كورونا او تطعيمات الي تعطي للحامل . ٢.ان لا نطعم اي من اولادنا. ٣.ان يرضع ابني حليب الثدي فقط.ولا نعطيه اي حليب مجفف خاص بالاطفال. ولكن للاسف شر,Covid Vaccine,None,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: انا اتفقت مع زوجتي قبل ان تحمل .. ١.ان زوجتي ما تتطعم باي تطعيم سواء حق كورونا او تطعيمات الي تعطي للحامل . ٢.ان لا نطعم اي من اولادنا. ٣.ان يرضع ابني حليب الثدي فقط.ولا نعطيه اي حليب مجفف خاص بالاطفال. ولكن للاسف شر,,,,,,,,,1,0,0.99853516,0.00034499168,0.0009469986,1,0.99853516,0.0108072428164494,None,Against
1072,في استراليا يتم تطعيم السكان الاصليين  بالقوة رغم ارادتهم لقاح كورونا URL,Covid Vaccine,في استراليا يتم تطعيم السكان الاصليين بالقوة رغم ارادتهم لقاح كورونا,Covid Vaccine,None,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: في استراليا يتم تطعيم السكان الاصليين بالقوة رغم ارادتهم لقاح كورونا,,,,,,,,,1,0,0.99853516,0.00083589554,0.00047898293,1,0.99853516,0.011049035619308,None,Against
1115,الكل يتحدث عن إيجابيات التحول الرقمي .. وسائل التواصل الإجتماعي .. لكن كما لكل شيء ضريبة .. ضريبة التطور التقني مزيد من الإنعزال عن التواصل البشري المحسوس .. انحدار القدرات التعبيرية وتمزيق الوقت بين براثن السطحية .. و بالطبع طلابنا ونحن جميعا لسنا استثناء عن هذا العالم .. URL,Digital Transformation,الكل يتحدث عن ايجابيات التحول الرقمي .. وسائل التواصل الاجتماعي .. لكن كما لكل شيء ضريبة .. ضريبة التطور التقني مزيد من الانعزال عن التواصل البشري المحسوس .. انحدار القدرات التعبيرية وتمزيق الوقت بين براثن السطحية .. و بالطبع طلابنا ونحن جميعا لسنا استثناء عن هذا العالم ..,Digital Transformation,None,1,Neutral,1,Yes,1,,,Not clear,Target: Digital Transformation Text: الكل يتحدث عن ايجابيات التحول الرقمي .. وسائل التواصل الاجتماعي .. لكن كما لكل شيء ضريبة .. ضريبة التطور التقني مزيد من الانعزال عن التواصل البشري المحسوس .. انحدار القدرات التعبيرية وتمزيق الوقت بين براثن السطحية .. و بالطبع طلابنا ونحن جميعا لسنا استثناء عن هذا العالم ..,,,,,,,,,1,0,0.67333984,0.0027103424,0.32421875,1,0.67333984,0.6475088388457657,None,Against
1243,".  كن غَالبيّةُ هذهِ الحُقوق خُصوصًا ما يُسمى "" تمكينُ المرأة"" ليسَ على ضَابطِ حفظهَا وَصونها، فحقوق المرأة أن تحفظَ كرامتها لا أن تستخدمَ قيمتها وجسدها، لكنّها ومن المُؤسف أنّهُ يُسْرعُ استغفالهَا سَواء بدعوى الاحتياج أو بِدعوى التهوين والتطبيع على انسلاخهَا من هويّتها،   +",Women empowerment,". كن غَالبيّةُ هذهِ الحُقوق خُصوصًا ما يُسمي "" تمكينُ المراة"" ليسَ علي ضَابطِ حفظهَا وَصونها، فحقوق المراة ان تحفظَ كرامتها لا ان تستخدمَ قيمتها وجسدها، لكنّها ومن المُؤسف انّهُ يُسْرعُ استغفالهَا سَواء بدعوي الاحتياج او بِدعوي التهوين والتطبيع علي انسلاخهَا من هويّتها، +",Women empowerment,None,1,Negative,0,No,0,,,Not clear,"Target: Women empowerment Text: . كن غَالبيّةُ هذهِ الحُقوق خُصوصًا ما يُسمي "" تمكينُ المراة"" ليسَ علي ضَابطِ حفظهَا وَصونها، فحقوق المراة ان تحفظَ كرامتها لا ان تستخدمَ قيمتها وجسدها، لكنّها ومن المُؤسف انّهُ يُسْرعُ استغفالهَا سَواء بدعوي الاحتياج او بِدعوي التهوين والتطبيع علي انسلاخهَا من هويّتها، +",,,,,,,,,1,0,0.9658203,0.00043439865,0.03366089,1,0.9658203,0.1511098909130136,None,Against
1337,  ترا تطعيم ضد كورونا مو ضد الدين والصفات الحسنة,Covid Vaccine,ترا تطعيم ضد كورونا مو ضد الدين والصفات الحسنة,Covid Vaccine,None,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: ترا تطعيم ضد كورونا مو ضد الدين والصفات الحسنة,,,,,,,,,1,0,0.9291992,0.060699463,0.009887695,1,0.9291992,0.2839482704629018,None,Against
1401,يعني الحين كورونا بينتهي اذا تطعم الشعب كله!!! ولا بتتوقف الاصابات والوفيات؟  ياخي العالم اللي انتج تطعيم فايزر (التطعيم الاكثر فاعلية) ما اخذه !! متخيل  يوم سألوه ليش ما خذته؟ قال ببساطة انا خمسيني واتمتع بصحة جيدة ما احتاجه🙂  فليش نستغرب اذا شخص شاب رفض يتطعم   قرار شخصي..خلاص,Covid Vaccine,يعني الحين كورونا بينتهي اذا تطعم الشعب كله!! ولا بتتوقف الاصابات والوفيات؟ ياخي العالم اللي انتج تطعيم فايزر (التطعيم الاكثر فاعلية) ما اخذه !! متخيل يوم سالوه ليش ما خذته؟ قال ببساطة انا خمسيني واتمتع بصحة جيدة ما احتاجه🙂 فليش نستغرب اذا شخص شاب رفض يتطعم قرار شخصي..خلاص,Covid Vaccine,None,1,Negative,0,No,0,,,Not clear,Target: Covid Vaccine Text: يعني الحين كورونا بينتهي اذا تطعم الشعب كله!! ولا بتتوقف الاصابات والوفيات؟ ياخي العالم اللي انتج تطعيم فايزر (التطعيم الاكثر فاعلية) ما اخذه !! متخيل يوم سالوه ليش ما خذته؟ قال ببساطة انا خمسيني واتمتع بصحة جيدة ما احتاجه🙂 فليش نستغرب اذا شخص شاب رفض يتطعم قرار شخصي..خلاص,,,,,,,,,1,0,0.9707031,0.008094788,0.021118164,1,0.9707031,0.149318210013744,None,Against
2071, للأسف كنا ننتظر من التحول الألكتروني المساهمة في العدالة الناجزة   ولكن وصل بنا الحال للعدالة العاجزة   ليس العيب في الفكرة ولكن في التطبيق !,Digital Transformation,للاسف كنا ننتظر من التحول الالكتروني المساهمة في العدالة الناجزة ولكن وصل بنا الحال للعدالة العاجزة ليس العيب في الفكرة ولكن في التطبيق !,Digital Transformation,None,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: للاسف كنا ننتظر من التحول الالكتروني المساهمة في العدالة الناجزة ولكن وصل بنا الحال للعدالة العاجزة ليس العيب في الفكرة ولكن في التطبيق !,,,,,,,,,1,0,0.97802734,0.017028809,0.005004883,1,0.97802734,0.1175978094687116,None,Against
2165,  صحيح  كورونا مسرع للتحول الرقمي  بس التحول الرقمي السريع بدون أساس رصين بييسقط لا محالة!   مثال التعلم الالكتروني في المدارس  هل استطاع انه يشمل جميع الطلبة؟ الكثير من الناس ما عندهم كمبيوترات أو انترنت منزلي!  وأيضا هل هي اصلا مش,Digital Transformation,صحيح كورونا مسرع للتحول الرقمي بس التحول الرقمي السريع بدون اساس رصين بييسقط لا محالة! مثال التعلم الالكتروني في المدارس هل استطاع انه يشمل جميع الطلبة؟ الكثير من الناس ما عندهم كمبيوترات او انترنت منزلي! وايضا هل هي اصلا مش,Digital Transformation,None,1,Negative,0,Yes,1,,,Not clear,Target: Digital Transformation Text: صحيح كورونا مسرع للتحول الرقمي بس التحول الرقمي السريع بدون اساس رصين بييسقط لا محالة! مثال التعلم الالكتروني في المدارس هل استطاع انه يشمل جميع الطلبة؟ الكثير من الناس ما عندهم كمبيوترات او انترنت منزلي! وايضا هل هي اصلا مش,,,,,,,,,1,0,0.9794922,0.00554657,0.015159607,1,0.9794922,0.1126135649604011,None,Against
2408, وكان فيه انسانة ما اخذت التطعيم وجالسة مع ناس مو مطعمين جتها كورونا وظهرت عليها الأعراض اول وحدة والباقي لا  قصة ثانية وحدة من جماعتنا مااخذت تطعيم جا للي معها بالبيت كورونا وخالطتهم وقامت فيهم وتطبخ لهم  وتعتني فيهم بدون كمام بدون شي ولا جاه,Covid Vaccine,وكان فيه انسانة ما اخذت التطعيم وجالسة مع ناس مو مطعمين جتها كورونا وظهرت عليها الاعراض اول وحدة والباقي لا قصة ثانية وحدة من جماعتنا مااخذت تطعيم جا للي معها بالبيت كورونا وخالطتهم وقامت فيهم وتطبخ لهم وتعتني فيهم بدون كمام بدون شي ولا جاه,Covid Vaccine,None,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: وكان فيه انسانة ما اخذت التطعيم وجالسة مع ناس مو مطعمين جتها كورونا وظهرت عليها الاعراض اول وحدة والباقي لا قصة ثانية وحدة من جماعتنا مااخذت تطعيم جا للي معها بالبيت كورونا وخالطتهم وقامت فيهم وتطبخ لهم وتعتني فيهم بدون كمام بدون شي ولا جاه,,,,,,,,,1,0,0.96875,0.016098022,0.015060425,1,0.96875,0.1604150288494886,None,Against
2863, وصلت لقناعة أن تعد  الأحزاب في الدولة مضر  خاصة في زمن التحول التقني,Digital Transformation,وصلت لقناعة ان تعد الاحزاب في الدولة مضر خاصة في زمن التحول التقني,Digital Transformation,None,1,Positive,2,No,0,,,Not clear,Target: Digital Transformation Text: وصلت لقناعة ان تعد الاحزاب في الدولة مضر خاصة في زمن التحول التقني,,,,,,,,,1,0,0.9316406,0.01864624,0.049560547,1,0.9316406,0.2891267968242477,None,Against
3011, بنك مريض ايش فايدة التحول الالكتروني والاون لاين وعلى ابسط شي يقوللي روح الفرع,Digital Transformation,بنك مريض ايش فايدة التحول الالكتروني والاون لاين وعلي ابسط شي يقوللي روح الفرع,Digital Transformation,None,1,Negative,0,No,0,,,Not clear,Target: Digital Transformation Text: بنك مريض ايش فايدة التحول الالكتروني والاون لاين وعلي ابسط شي يقوللي روح الفرع,,,,,,,,,1,0,0.8671875,0.016967773,0.11602783,1,0.8671875,0.4426576393741314,None,Against
3471,تم وضع شريحة جينات الشواذي المعدلة وراثياً. من الحين مشتهية موز. 🍌🐒 #تطعيم_كورونا,Covid Vaccine,تم وضع شريحة جينات الشواذي المعدلة وراثياً. من الحين مشتهية موز. 🍌🐒 #تطعيم كورونا,Covid Vaccine,None,1,Neutral,1,Yes,1,,,Not Related,Target: Covid Vaccine Text: تم وضع شريحة جينات الشواذي المعدلة وراثياً. من الحين مشتهية موز. 🍌🐒 #تطعيم كورونا,,,,,,,,,1,0,0.98046875,0.0058555603,0.013542175,1,0.98046875,0.1076966809116982,None,Against
3494, اوك فهمت 🦦 اول مره اعرف لقاح يطلقون عليه اسم تطعيم 😅,Covid Vaccine,اوك فهمت 🦦 اول مره اعرف لقاح يطلقون عليه اسم تطعيم 😅,Covid Vaccine,None,1,Neutral,1,Yes,1,,,Not clear,Target: Covid Vaccine Text: اوك فهمت 🦦 اول مره اعرف لقاح يطلقون عليه اسم تطعيم 😅,,,,,,,,,1,0,0.72509766,0.2734375,0.001364708,1,0.72509766,0.5966461324179156,None,Against
3736, هاذي على شان تمكين المرأة ، والمشكله الحريه عندنا تشمل كل شي الا السياسه وانتقاد القرارات ... هنا تقف كل أشكال الحريه 😂😂😂,Women empowerment,هاذي علي شان تمكين المراة ، والمشكله الحريه عندنا تشمل كل شي الا السياسه وانتقاد القرارات .. هنا تقف كل اشكال الحريه 😂😂,Women empowerment,None,1,Neutral,1,No,0,,,Not clear,Target: Women empowerment Text: هاذي علي شان تمكين المراة ، والمشكله الحريه عندنا تشمل كل شي الا السياسه وانتقاد القرارات .. هنا تقف كل اشكال الحريه 😂😂,,,,,,,,,1,0,0.99121094,0.0036888123,0.0049972534,1,0.99121094,0.0558964920830674,None,Against
3924,الذكورية إجمالًا تخالف توجهات الدولة في تمكين المرأة والمساواة بين الجنسين لهذا يكتب الذكوريون في السعودية بأسماء مستعارة والذكوريون في الدول العربية يكتبون بأسمائهم الصريحة لأنهم يأمنون من ردة فعل دولهم  ما أدري هذي التغريدة سذاجة أم خبث؟ ,Women empowerment,الذكورية اجمالًا تخالف توجهات الدولة في تمكين المراة والمساواة بين الجنسين لهذا يكتب الذكوريون في السعودية باسماء مستعارة والذكوريون في الدول العربية يكتبون باسمائهم الصريحة لانهم يامنون من ردة فعل دولهم ما ادري هذي التغريدة سذاجة ام خبث؟,Women empowerment,None,1,Neutral,1,No,0,,,Not clear,Target: Women empowerment Text: الذكورية اجمالًا تخالف توجهات الدولة في تمكين المراة والمساواة بين الجنسين لهذا يكتب الذكوريون في السعودية باسماء مستعارة والذكوريون في الدول العربية يكتبون باسمائهم الصريحة لانهم يامنون من ردة فعل دولهم ما ادري هذي التغريدة سذاجة ام خبث؟,,,,,,,,,1,0,0.51171875,0.0033473969,0.48486328,1,0.51171875,0.7129069882277581,None,Against
9, ههههههههههههههه ماعليك زمن تمكين المرأة ماراح يسوون لك شي 😂,Women empowerment,هه ماعليك زمن تمكين المراة ماراح يسوون لك شي 😂,Women empowerment,None,1,Neutral,1,Yes,1,,,Not clear,Target: Women empowerment Text: هه ماعليك زمن تمكين المراة ماراح يسوون لك شي 😂,,,,,,,,,1,0,0.9897461,0.00060606,0.009429932,2,0.9897461,0.0586711057389213,None,Against
456, جميل ولكن في دول مثل الصين لازال عندهم كورونا  كيف يسمح لهم بالقدوم من غير فحص او تطعيم؟,Covid Vaccine,جميل ولكن في دول مثل الصين لازال عندهم كورونا كيف يسمح لهم بالقدوم من غير فحص او تطعيم؟,Covid Vaccine,None,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: جميل ولكن في دول مثل الصين لازال عندهم كورونا كيف يسمح لهم بالقدوم من غير فحص او تطعيم؟,,,,,,,,,1,0,0.81152344,0.18737793,0.0011711121,2,0.81152344,0.4911732278917948,None,Against
774,اول مره اشوف ادارة تهتم في محاضرات تمكين المرآة اكثر من اهتمامها في النادي ومصلحة الفريق 😂💔 URL,Women empowerment,اول مره اشوف ادارة تهتم في محاضرات تمكين المراة اكثر من اهتمامها في النادي ومصلحة الفريق 😂💔,Women empowerment,None,1,Positive,2,No,0,,,Not clear,Target: Women empowerment Text: اول مره اشوف ادارة تهتم في محاضرات تمكين المراة اكثر من اهتمامها في النادي ومصلحة الفريق 😂💔,,,,,,,,,1,0,0.9506836,0.00039362907,0.049102783,2,0.9506836,0.1991538499292288,None,Against
1036, فاهم الرجولة غلط فاهم الزواج غلط يعيش حالة انكسار بعد #تمكين_المرأة,Women empowerment,فاهم الرجولة غلط فاهم الزواج غلط يعيش حالة انكسار بعد #تمكين المراة,Women empowerment,None,1,Negative,0,No,0,,,Not clear,Target: Women empowerment Text: فاهم الرجولة غلط فاهم الزواج غلط يعيش حالة انكسار بعد #تمكين المراة,,,,,,,,,1,0,0.9975586,0.00027751923,0.001991272,2,0.9975586,0.0170948785047969,None,Against
1297, شهادت تطعيم كورونا.     اغلى,Covid Vaccine,شهادت تطعيم كورونا. اغلي,Covid Vaccine,None,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: شهادت تطعيم كورونا. اغلي,,,,,,,,,1,0,0.6274414,0.3659668,0.0064353943,2,0.6274414,0.6928006609638407,None,Against
