ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
10,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Digital Transformation,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!",Digital Transformation,Favor,2,Negative,0,No,0,F_Explicit,,,"Target: Digital Transformation Text: كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!",,,,,,,,,2,0,0.79345703,0.015136719,0.19165039,1,0.79345703,0.5636256214443152,Favor,Against
83,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,تمكين المراه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,Favor,2,Negative,0,No,0,F_Explicit,,,Target: Women empowerment Text: تمكين المراه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,,,,,,,,,2,0,0.92626953,0.0008854866,0.072753906,1,0.92626953,0.2678315894656122,Favor,Against
130,MENTION MENTION MENTION MENTION كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد يأخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,مستخدم مستخدم مستخدم مستخدم كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد ياخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: مستخدم مستخدم مستخدم مستخدم كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد ياخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,,,,,,,,,2,0,0.7841797,0.0065727234,0.20947266,1,0.7841797,0.5511139860597274,Favor,Against
361,  والوزارة كل يوم مغردين عن التحول الرقمي والتعليم الالكتروني ليه مايربطون الجهات التدريبية كافة في سيستم واحد وبرقم البطاقة تظهرلك الدورات.... يعني بالله تبغاني اتذكر دورات وتواريخها قبل عشر سنوات اعتقد في نظام النمو المهني اجحاف كبير ,Digital Transformation,والوزارة كل يوم مغردين عن التحول الرقمي والتعليم الالكتروني ليه مايربطون الجهات التدريبية كافة في سيستم واحد وبرقم البطاقة تظهرلك الدورات.. يعني بالله تبغاني اتذكر دورات وتواريخها قبل عشر سنوات اعتقد في نظام النمو المهني اجحاف كبير,Digital Transformation,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Digital Transformation Text: والوزارة كل يوم مغردين عن التحول الرقمي والتعليم الالكتروني ليه مايربطون الجهات التدريبية كافة في سيستم واحد وبرقم البطاقة تظهرلك الدورات.. يعني بالله تبغاني اتذكر دورات وتواريخها قبل عشر سنوات اعتقد في نظام النمو المهني اجحاف كبير,,,,,,,,,2,0,0.7104492,0.07397461,0.21533203,1,0.7104492,0.7661632673495813,Favor,Against
740,   ارفع لمعاليكم شكوى لمعاناتنا من برنامج ايجار  للاسف اسوء خدمة حكوميه ولا ترتقي لتطلع القيادة حفظها الله. معاناه شهرية مع الفواتير و الان مع التحول الموقع  الالكتروني غير مكتمل و ناقص. و الله عندي الاستعداد لادارة التحول في ايجار لتقديم خدمه,Digital Transformation,ارفع لمعاليكم شكوي لمعاناتنا من برنامج ايجار للاسف اسوء خدمة حكوميه ولا ترتقي لتطلع القيادة حفظها الله. معاناه شهرية مع الفواتير و الان مع التحول الموقع الالكتروني غير مكتمل و ناقص. و الله عندي الاستعداد لادارة التحول في ايجار لتقديم خدمه,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: ارفع لمعاليكم شكوي لمعاناتنا من برنامج ايجار للاسف اسوء خدمة حكوميه ولا ترتقي لتطلع القيادة حفظها الله. معاناه شهرية مع الفواتير و الان مع التحول الموقع الالكتروني غير مكتمل و ناقص. و الله عندي الاستعداد لادارة التحول في ايجار لتقديم خدمه,,,,,,,,,2,0,0.9897461,0.0004813671,0.0096206665,1,0.9897461,0.0585551064463961,Favor,Against
872,MENTION MENTION اللقاح ما يمنع الإصابة هو يخفف الأعراض فقط  اللي ماتوا من كورونا بدون تطعيم أكثر بكثير من اللي ماتوا بعده,Covid Vaccine,مستخدم مستخدم اللقاح ما يمنع الاصابة هو يخفف الاعراض فقط اللي ماتوا من كورونا بدون تطعيم اكثر بكثير من اللي ماتوا بعده,Covid Vaccine,Favor,2,Positive,2,No,0,F_Implicit,,,Target: Covid Vaccine Text: مستخدم مستخدم اللقاح ما يمنع الاصابة هو يخفف الاعراض فقط اللي ماتوا من كورونا بدون تطعيم اكثر بكثير من اللي ماتوا بعده,,,,,,,,,2,0,0.87060547,0.0029201508,0.12658691,1,0.87060547,0.399312126001679,Favor,Against
1136,MENTION أخذت اللقاح مش معناته إنك ماراح تصاب ب كورونا! معناها إنك سوف تصاب ولكن بدرجة أقل وأيضا يمكنك نقل الفيروس للاخرين  عشان كده تلبس كمامة إلا اذا تم تطعيم ١٠٠٪ من الشعب مثل دولة جزر القمر خذ راحتك ونزل الكمامات,Covid Vaccine,مستخدم اخذت اللقاح مش معناته انك ماراح تصاب ب كورونا! معناها انك سوف تصاب ولكن بدرجة اقل وايضا يمكنك نقل الفيروس للاخرين عشان كده تلبس كمامة الا اذا تم تطعيم ١٠٠٪ من الشعب مثل دولة جزر القمر خذ راحتك ونزل الكمامات,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Implicit,,,Target: Covid Vaccine Text: مستخدم اخذت اللقاح مش معناته انك ماراح تصاب ب كورونا! معناها انك سوف تصاب ولكن بدرجة اقل وايضا يمكنك نقل الفيروس للاخرين عشان كده تلبس كمامة الا اذا تم تطعيم ١٠٠٪ من الشعب مثل دولة جزر القمر خذ راحتك ونزل الكمامات,,,,,,,,,2,0,0.9482422,0.038909912,0.0126953125,1,0.9482422,0.2321502787188891,Favor,Against
1626,الكيان الصهيوني المحتل لأرض فلسطين طعموا كل اليهود ضد كورونا بأسرع ما يمكن...دافعهم لذلك أنهم شعب يخاف من الانقراض و الموت...فهم حريصون على الحياة والبقاء ويستخدمون لذلك كل الطرق والوسائل.  اليوم أو أمس أعلنوا إزالة الكمامات...والعودة للحياة الطبيعية...بعد تطعيم أغلب اليهود,Covid Vaccine,الكيان الصهيوني المحتل لارض فلسطين طعموا كل اليهود ضد كورونا باسرع ما يمكن..دافعهم لذلك انهم شعب يخاف من الانقراض و الموت..فهم حريصون علي الحياة والبقاء ويستخدمون لذلك كل الطرق والوسائل. اليوم او امس اعلنوا ازالة الكمامات..والعودة للحياة الطبيعية..بعد تطعيم اغلب اليهود,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: الكيان الصهيوني المحتل لارض فلسطين طعموا كل اليهود ضد كورونا باسرع ما يمكن..دافعهم لذلك انهم شعب يخاف من الانقراض و الموت..فهم حريصون علي الحياة والبقاء ويستخدمون لذلك كل الطرق والوسائل. اليوم او امس اعلنوا ازالة الكمامات..والعودة للحياة الطبيعية..بعد تطعيم اغلب اليهود,,,,,,,,,2,0,0.9814453,0.00042939186,0.018356323,1,0.9814453,0.0950951851158267,Favor,Against
2102, لابد من تحسين موقعكم السيء في ظل التحول التقني يعني في حياتي ماشفت موقع فاشل برمجيا مثل موقع ساكو!,Digital Transformation,لابد من تحسين موقعكم السيء في ظل التحول التقني يعني في حياتي ماشفت موقع فاشل برمجيا مثل موقع ساكو!,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: لابد من تحسين موقعكم السيء في ظل التحول التقني يعني في حياتي ماشفت موقع فاشل برمجيا مثل موقع ساكو!,,,,,,,,,2,0,0.71972656,0.26611328,0.013900757,1,0.71972656,0.6484331074571443,Favor,Against
2249,MENTION MENTION MENTION العكس صحيح .. لم نسمع الا ما ندر من اخذ جرعتي تطعيم قد تدهورت صحته بسبب كورونا .. وأنا اعرف منهم كثر وكبار السن ايضاً .. لولا رعاية الله وجرعتي التطعيم لكنا قد افتقدناهم .,Covid Vaccine,مستخدم مستخدم مستخدم العكس صحيح .. لم نسمع الا ما ندر من اخذ جرعتي تطعيم قد تدهورت صحته بسبب كورونا .. وانا اعرف منهم كثر وكبار السن ايضاً .. لولا رعاية الله وجرعتي التطعيم لكنا قد افتقدناهم .,Covid Vaccine,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Covid Vaccine Text: مستخدم مستخدم مستخدم العكس صحيح .. لم نسمع الا ما ندر من اخذ جرعتي تطعيم قد تدهورت صحته بسبب كورونا .. وانا اعرف منهم كثر وكبار السن ايضاً .. لولا رعاية الله وجرعتي التطعيم لكنا قد افتقدناهم .,,,,,,,,,2,0,0.82421875,0.0017366409,0.17419434,1,0.82421875,0.4747943378669916,Favor,Against
