ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
115,  ذكرتني بواحد يسولف يثني على القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية  والمصيبة انه مايستوعب ان ماي,Women empowerment,ذكرتني بواحد يسولف يثني علي القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية والمصيبة انه مايستوعب ان ماي,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ذكرتني بواحد يسولف يثني علي القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية والمصيبة انه مايستوعب ان ماي,,,,,,,,,0,2,0.027786255,0.003583908,0.96875,1,0.96875,0.1505027103257256,Against,Favor
225, ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم  و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Women empowerment,ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,,,,,,,,,0,2,0.010635376,0.0011796951,0.98828125,1,0.98828125,0.0679264787450696,Against,Favor
333, كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الى بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Digital Transformation,كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الي بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الي بنك عدل مثل الانماء والله خدماتهم تفتح النفس,,,,,,,,,0,2,0.04425049,0.002494812,0.953125,1,0.953125,0.1986796559732677,Against,Favor
441, والشباب عادي عطاله اهم شي تمكين المرأة,Women empowerment,والشباب عادي عطاله اهم شي تمكين المراة,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: والشباب عادي عطاله اهم شي تمكين المراة,,,,,,,,,0,2,0.37646484,0.0010099411,0.6225586,1,0.6225586,0.6697878929743142,Against,Favor
562, لا تتعب نفسك وتقارن 🤔  الكل تحول للتجارة الإلكترونية كوايدي مول الخيار الأفضل لتجار التجزئة التحول الإلكتروني يبدأ من هنا ارباح اكثر إنتشار اكبر عملاء اكثر تكلفة اقل  كما تتوفر خدمة الشحن السريع لجميع مناطق المملكة  فقط املأ بيانات العميل عبر ,Digital Transformation,لا تتعب نفسك وتقارن 🤔 الكل تحول للتجارة الالكترونية كوايدي مول الخيار الافضل لتجار التجزئة التحول الالكتروني يبدا من هنا ارباح اكثر انتشار اكبر عملاء اكثر تكلفة اقل كما تتوفر خدمة الشحن السريع لجميع مناطق المملكة فقط املا بيانات العميل عبر,Digital Transformation,Against,0,Positive,2,No,0,,A_Explicit,,Target: Digital Transformation Text: لا تتعب نفسك وتقارن 🤔 الكل تحول للتجارة الالكترونية كوايدي مول الخيار الافضل لتجار التجزئة التحول الالكتروني يبدا من هنا ارباح اكثر انتشار اكبر عملاء اكثر تكلفة اقل كما تتوفر خدمة الشحن السريع لجميع مناطق المملكة فقط املا بيانات العميل عبر,,,,,,,,,0,2,0.0011262894,0.0008702278,0.9980469,1,0.9980469,0.0157296576516125,Against,Favor
711,دول رجالة مصر اللى بيحمو البلد بدمهم وبيشتغلو ليل نهار علشان خاطر ولادهم وزوجاتهم ...على فكره الشهداء دول هم هم اللى الدنيا مقلوبه عليهم دلوقتى بحجة تمكين المرآة وعمالين يخربو فى بيوتهم بأفكار مسمومه ..اللى بيبكى على دول يحافظ على اللى زيهم الحب مش بيتجزأ URL,Women empowerment,دول رجالة مصر اللي بيحمو البلد بدمهم وبيشتغلو ليل نهار علشان خاطر ولادهم وزوجاتهم ..علي فكره الشهداء دول هم هم اللي الدنيا مقلوبه عليهم دلوقتي بحجة تمكين المراة وعمالين يخربو في بيوتهم بافكار مسمومه ..اللي بيبكي علي دول يحافظ علي اللي زيهم الحب مش بيتجزا,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: دول رجالة مصر اللي بيحمو البلد بدمهم وبيشتغلو ليل نهار علشان خاطر ولادهم وزوجاتهم ..علي فكره الشهداء دول هم هم اللي الدنيا مقلوبه عليهم دلوقتي بحجة تمكين المراة وعمالين يخربو في بيوتهم بافكار مسمومه ..اللي بيبكي علي دول يحافظ علي اللي زيهم الحب مش بيتجزا,,,,,,,,,0,2,0.056365967,0.0060157776,0.9375,1,0.9375,0.253368063543488,Against,Favor
840,  تمكين المرأه في المراح .,Women empowerment,تمكين المراه في المراح .,Women empowerment,Against,0,Neutral,1,No,0,,A_Explicit,,Target: Women empowerment Text: تمكين المراه في المراح .,,,,,,,,,0,2,0.0030231476,0.016952515,0.97998047,1,0.97998047,0.1064776003205546,Against,Favor
856,التحول التقني والذكاء الاصطناعي راح يقضي على الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب.  #STC_تغلق_فروعها,Digital Transformation,التحول التقني والذكاء الاصطناعي راح يقضي علي الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب. #STC تغلق فروعها,Digital Transformation,Against,0,Negative,0,Yes,1,,A_Explicit,,Target: Digital Transformation Text: التحول التقني والذكاء الاصطناعي راح يقضي علي الوظائف التقليدية الي وظيفتها بس دخل بيانات واطبع. مجرد تخيلك ماذا سيحصل في ٣٠-٥٠عام القادمه راح يكون شي مرعب. #STC تغلق فروعها,,,,,,,,,0,2,0.0033493042,0.0158844,0.98095703,1,0.98095703,0.1037480051897946,Against,Favor
879, ملف تمكين المرأة اوك ماشي صح وقواكم الله بس انتم فتحتوا ملف تكبيل وتقييد ونحر الشباب السعودي بدون شعور ،، الموازنه مطلوبه ،، الشباب اصبح مع انظمتك معطل تعطيل كامل،، نتمنى من سمو ولي العهد الالتفات للشباب السعودي وفتح مجالات العمل لهم,Women empowerment,ملف تمكين المراة اوك ماشي صح وقواكم الله بس انتم فتحتوا ملف تكبيل وتقييد ونحر الشباب السعودي بدون شعور ،، الموازنه مطلوبه ،، الشباب اصبح مع انظمتك معطل تعطيل كامل،، نتمني من سمو ولي العهد الالتفات للشباب السعودي وفتح مجالات العمل لهم,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ملف تمكين المراة اوك ماشي صح وقواكم الله بس انتم فتحتوا ملف تكبيل وتقييد ونحر الشباب السعودي بدون شعور ،، الموازنه مطلوبه ،، الشباب اصبح مع انظمتك معطل تعطيل كامل،، نتمني من سمو ولي العهد الالتفات للشباب السعودي وفتح مجالات العمل لهم,,,,,,,,,0,2,0.014434814,0.00037956238,0.98535156,1,0.98535156,0.0787066072595927,Against,Favor
946, طيب الوسيلة تغيّرت والصحافة باقية... سواء ورقي أم إلكتروني... التحول الإلكتروني لا يعني إلغاء المهنة,Digital Transformation,طيب الوسيلة تغيّرت والصحافة باقية.. سواء ورقي ام الكتروني.. التحول الالكتروني لا يعني الغاء المهنة,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: طيب الوسيلة تغيّرت والصحافة باقية.. سواء ورقي ام الكتروني.. التحول الالكتروني لا يعني الغاء المهنة,,,,,,,,,0,2,0.0013446808,0.004600525,0.9941406,1,0.9941406,0.0394908054537267,Against,Favor
