ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
10,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وووو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!!!",Digital Transformation,"كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!",Digital Transformation,Favor,2,Negative,0,No,0,F_Explicit,,,"Target: Digital Transformation Text: كعادة البشر ذوي العقليات المحدودة والكسولة الكل هاجمه وانتقده ووصفوه بالجنون والغباء وو الخ"" نفس سالفة التحول الرقمي والدفع الالكتروني"" لكن المصيبة ان كلامه طلع صح ونجح !!",,,,,,,,,2,0,0.79345703,0.015136719,0.19165039,1,0.79345703,0.5636256214443152,Favor,Against
83,  تمكين المرأه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,تمكين المراه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,Women empowerment,Favor,2,Negative,0,No,0,F_Explicit,,,Target: Women empowerment Text: تمكين المراه صارت فساد ؟؟ يبون يعزونك و يرفعونك عن الحاجة و انتي تقولين فساد ! عجيب تفكير البعض,,,,,,,,,2,0,0.92626953,0.0008854866,0.072753906,1,0.92626953,0.2678315894656122,Favor,Against
115,  ذكرتني بواحد يسولف يثني على القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية  والمصيبة انه مايستوعب ان ماي,Women empowerment,ذكرتني بواحد يسولف يثني علي القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية والمصيبة انه مايستوعب ان ماي,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ذكرتني بواحد يسولف يثني علي القرارت الخاصة بالنساء من التوسع في توظيفهن والسماح لهن بقيادة السيارك وغيرها وفي نفس السالفة يشتكي ويتذمر من نسبة الطلاق المرتفعة وعزوف العزاب عن الزواج وان هذا سيشكل مشكلة حقيقية والمصيبة انه مايستوعب ان ماي,,,,,,,,,0,2,0.027786255,0.003583908,0.96875,1,0.96875,0.1505027103257256,Against,Favor
119, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Covid Vaccine,اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,,,,,,,,,0,1,0.26171875,0.703125,0.03515625,1,0.703125,0.7161865856661775,Against,None
130,MENTION MENTION MENTION MENTION كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد يأخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,مستخدم مستخدم مستخدم مستخدم كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد ياخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: مستخدم مستخدم مستخدم مستخدم كل اللقاحات الي اخذناها واحنا صغار فشهادة التطعيم حق اوبئه سابقه معناها برضوا مؤامره؟!! تكفون بس عاد مو كل شي مؤامره ترا لقاح كورونا بعد كم سنه بيصير المواليد ياخذونها للحمايه بعد الله مثل حق شلل الاطفال والحصبه وكذا تطعيم,,,,,,,,,2,0,0.7841797,0.0065727234,0.20947266,1,0.7841797,0.5511139860597274,Favor,Against
166,كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق أفضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها على أفضل الأدوات التحليلية 📊  انتظرونا يوم الأربعاء على #ويبينار_التحول_التقني  سجِّل الآن   URL URL,Digital Transformation,كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق افضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها علي افضل الادوات التحليلية 📊 انتظرونا يوم الاربعاء علي #ويبينار التحول التقني سجِّل الان,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق افضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها علي افضل الادوات التحليلية 📊 انتظرونا يوم الاربعاء علي #ويبينار التحول التقني سجِّل الان,,,,,,,,,1,2,0.0013551712,0.016540527,0.9819336,1,0.9819336,0.0946998055394064,None,Favor
209, فاهمين تمكين المرأة غلط ههههههههههههههههههههههههههههههههههههههههه,Women empowerment,فاهمين تمكين المراة غلط هه,Women empowerment,Against,0,Neutral,1,Yes,1,,A_Explicit,,Target: Women empowerment Text: فاهمين تمكين المراة غلط هه,,,,,,,,,0,1,0.05303955,0.92871094,0.018341064,1,0.92871094,0.2977863461097342,Against,None
218,رسمياً...  بدأ اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين.  لا كمامات  لا تباعد  لا إغلاق  وسيُقام غداً حفل سيضم 50 000 شخص بلا أي إجراءات صحية. URL,Covid Vaccine,رسمياً.. بدا اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين. لا كمامات لا تباعد لا اغلاق وسيُقام غداً حفل سيضم 50 00 شخص بلا اي اجراءات صحية.,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Implicit,,,Target: Covid Vaccine Text: رسمياً.. بدا اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين. لا كمامات لا تباعد لا اغلاق وسيُقام غداً حفل سيضم 50 00 شخص بلا اي اجراءات صحية.,,,,,,,,,2,1,0.03805542,0.9350586,0.026763916,1,0.9350586,0.2840818463084077,Favor,None
225, ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم  و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Women empowerment,ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: ماله دخل تمكين المراه ولا الحكومه ومثل هذه الجرائم تصير بكل دول العالم و مهما عملت الحكومات سيكون هناك نسبه متخلفين مثلك,,,,,,,,,0,2,0.010635376,0.0011796951,0.98828125,1,0.98828125,0.0679264787450696,Against,Favor
239, بالذات الحلقة بتاعت التحول الرقمي والتعامل الإلكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,Digital Transformation,بالذات الحلقة بتاعت التحول الرقمي والتعامل الالكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: بالذات الحلقة بتاعت التحول الرقمي والتعامل الالكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,,,,,,,,,0,1,0.0012598038,0.5449219,0.45361328,1,0.5449219,0.6978264635702236,Against,None
