ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
166,كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق أفضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها على أفضل الأدوات التحليلية 📊  انتظرونا يوم الأربعاء على #ويبينار_التحول_التقني  سجِّل الآن   URL URL,Digital Transformation,كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق افضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها علي افضل الادوات التحليلية 📊 انتظرونا يوم الاربعاء علي #ويبينار التحول التقني سجِّل الان,Digital Transformation,None,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: كيف ممكن تستفيد من بياناتك!🤔 عن طريق تحليلها تستطيع تحقيق افضل النتائج 👌🏻 في محاضرة مثرية ستتعرف فيها علي افضل الادوات التحليلية 📊 انتظرونا يوم الاربعاء علي #ويبينار التحول التقني سجِّل الان,,,,,,,,,1,2,0.0013551712,0.016540527,0.9819336,1,0.9819336,0.0946998055394064,None,Favor
586,  الدولة عندما سنّت الانظمة الجديده من تمكين المرأة والحريات المنضبطة وكذا نظام التقاضي وقعت مثل الصاعقة على الغرب مما جعلهم يناصبون الامير محمد بن سلمان العداء علانية لأنه اصلح وقطع المسوغات التي يدندنون حولهاⓂ️,Women empowerment,الدولة عندما سنّت الانظمة الجديده من تمكين المراة والحريات المنضبطة وكذا نظام التقاضي وقعت مثل الصاعقة علي الغرب مما جعلهم يناصبون الامير محمد بن سلمان العداء علانية لانه اصلح وقطع المسوغات التي يدندنون حولهاⓂ️,Women empowerment,None,1,Positive,2,No,0,,,Not clear,Target: Women empowerment Text: الدولة عندما سنّت الانظمة الجديده من تمكين المراة والحريات المنضبطة وكذا نظام التقاضي وقعت مثل الصاعقة علي الغرب مما جعلهم يناصبون الامير محمد بن سلمان العداء علانية لانه اصلح وقطع المسوغات التي يدندنون حولهاⓂ️,,,,,,,,,1,2,0.013595581,0.00052022934,0.98583984,1,0.98583984,0.0764269570793814,None,Favor
657, السلام عليكم ورحمة الله. قررت ان اخذ الجرعة الثالثة من تطعيم كورونا بمطار الملك عبدالعزيز الجنوبي. استفساري اذا احد اخذها من المطار  حديثا هل هو فايزر؟,Covid Vaccine,السلام عليكم ورحمة الله. قررت ان اخذ الجرعة الثالثة من تطعيم كورونا بمطار الملك عبدالعزيز الجنوبي. استفساري اذا احد اخذها من المطار حديثا هل هو فايزر؟,Covid Vaccine,None,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: السلام عليكم ورحمة الله. قررت ان اخذ الجرعة الثالثة من تطعيم كورونا بمطار الملك عبدالعزيز الجنوبي. استفساري اذا احد اخذها من المطار حديثا هل هو فايزر؟,,,,,,,,,1,2,0.005756378,0.0703125,0.9238281,1,0.9238281,0.2895484583185937,None,Favor
738, سلاح ثور الوحيد اللي يميزة عن باقي الشخصيات لأنه الوحيد اللي يقدر يحمله   وأكتشفنا بقدرة قادر أن كابتن أمريكا يقدر يحملها والآن حبيبتة !!؟ تقدر تصنع قصة جميله بدون حدث مفاجئ عشان تعتمد ع عامل الصدمه وغير إني شام ريحة تمكين المرأة 😂,Women empowerment,سلاح ثور الوحيد اللي يميزة عن باقي الشخصيات لانه الوحيد اللي يقدر يحمله واكتشفنا بقدرة قادر ان كابتن امريكا يقدر يحملها والان حبيبتة !!؟ تقدر تصنع قصة جميله بدون حدث مفاجئ عشان تعتمد ع عامل الصدمه وغير اني شام ريحة تمكين المراة 😂,Women empowerment,None,1,Neutral,1,No,0,,,Not clear,Target: Women empowerment Text: سلاح ثور الوحيد اللي يميزة عن باقي الشخصيات لانه الوحيد اللي يقدر يحمله واكتشفنا بقدرة قادر ان كابتن امريكا يقدر يحملها والان حبيبتة !!؟ تقدر تصنع قصة جميله بدون حدث مفاجئ عشان تعتمد ع عامل الصدمه وغير اني شام ريحة تمكين المراة 😂,,,,,,,,,1,2,0.008605957,0.085876465,0.9057617,1,0.9057617,0.3413887799516074,None,Favor
885,مايا مرسي تستعرض جهود مصر في تمكين المرأة مع مسئولة أممية URL,Women empowerment,مايا مرسي تستعرض جهود مصر في تمكين المراة مع مسئولة اممية,Women empowerment,None,1,Neutral,1,No,0,,,Not clear,Target: Women empowerment Text: مايا مرسي تستعرض جهود مصر في تمكين المراة مع مسئولة اممية,,,,,,,,,1,2,0.0011558533,0.01751709,0.9814453,1,0.9814453,0.0970476683133866,None,Favor
1027,مشروب سحري لرفع المناعة ويغني عن تطعيم كورونا .. شكرا فاطمة حمد :) ,Covid Vaccine,مشروب سحري لرفع المناعة ويغني عن تطعيم كورونا .. شكرا فاطمة حمد :),Covid Vaccine,None,1,Positive,2,No,0,,,Not clear,Target: Covid Vaccine Text: مشروب سحري لرفع المناعة ويغني عن تطعيم كورونا .. شكرا فاطمة حمد :),,,,,,,,,1,2,0.011947632,0.0015907288,0.9863281,1,0.9863281,0.0767227933325019,None,Favor
1061,بعد اليوم لا تحتاج إلى الحضور شخصيًا حتى توقع مستنداتك! #تقدم_بذكاء واجعلها إلكترونيًا 👌 تعرّف على الأدوات التي تساعدك على ذلك مع #انفوجرافيك_مزن 🔻  URL URL,Digital Transformation,بعد اليوم لا تحتاج الي الحضور شخصيًا حتي توقع مستنداتك! #تقدم بذكاء واجعلها الكترونيًا 👌 تعرّف علي الادوات التي تساعدك علي ذلك مع #انفوجرافيك مزن 🔻,Digital Transformation,None,1,Positive,2,No,0,,,Not clear,Target: Digital Transformation Text: بعد اليوم لا تحتاج الي الحضور شخصيًا حتي توقع مستنداتك! #تقدم بذكاء واجعلها الكترونيًا 👌 تعرّف علي الادوات التي تساعدك علي ذلك مع #انفوجرافيك مزن 🔻,,,,,,,,,1,2,0.00058078766,0.001332283,0.9980469,1,0.9980469,0.0150995740169088,None,Favor
1062,"موعدنا معكم الليلة في محاضرة مباشرة ستتعلم فيها  ""أفضل الممارسات والبرامج في #التسويق  الإلكتروني""   سجِّل الآن 👇 URL . #تقدم_بذكاء URL",Digital Transformation,"موعدنا معكم الليلة في محاضرة مباشرة ستتعلم فيها ""افضل الممارسات والبرامج في #التسويق الالكتروني"" سجِّل الان 👇 . #تقدم بذكاء",Digital Transformation,None,1,Neutral,1,No,0,,,Not Related,"Target: Digital Transformation Text: موعدنا معكم الليلة في محاضرة مباشرة ستتعلم فيها ""افضل الممارسات والبرامج في #التسويق الالكتروني"" سجِّل الان 👇 . #تقدم بذكاء",,,,,,,,,1,2,0.004924774,0.06726074,0.9277344,1,0.9277344,0.2773055871909262,None,Favor
1248,"هل عملك جاهز للتحول الرقمي القادم؟   ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم إنشاؤها عندما يعمل الأشخاص باستخدام الأدوات التقنية"".  URL",Digital Transformation,"هل عملك جاهز للتحول الرقمي القادم؟ ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم انشاؤها عندما يعمل الاشخاص باستخدام الادوات التقنية"".",Digital Transformation,None,1,Negative,0,No,0,,,Not clear,"Target: Digital Transformation Text: هل عملك جاهز للتحول الرقمي القادم؟ ""يُقاس النجاح في التحول الرقمي بالقيمة التي يتم انشاؤها عندما يعمل الاشخاص باستخدام الادوات التقنية"".",,,,,,,,,1,2,0.008460999,0.3215332,0.6699219,1,0.6699219,0.673574196136137,None,Favor
1622,سؤال طبي مالي بحت 😂 ..  الي ما يبي يطعّم يقدر يبيع نصيبه 🏃🏽‍♂️😂  #وزارة_الصحة  #تطعيم_كورونا,Covid Vaccine,سؤال طبي مالي بحت 😂 .. الي ما يبي يطعّم يقدر يبيع نصيبه 🏃🏽‍♂️😂 #وزارة الصحة #تطعيم كورونا,Covid Vaccine,None,1,Neutral,1,Yes,1,,,Not clear,Target: Covid Vaccine Text: سؤال طبي مالي بحت 😂 .. الي ما يبي يطعّم يقدر يبيع نصيبه 🏃🏽‍♂️😂 #وزارة الصحة #تطعيم كورونا,,,,,,,,,1,2,0.0047454834,0.48779297,0.5073242,1,0.5073242,0.7198328706102339,None,Favor
