ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,true_name,pred_name
21,باعتقادك هل تؤثر الإمبريالية في عملية إحلال الإجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل مأموري سعادة المتعاملين؟ و هل التحول الالكتروني أسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الأداء دور رقابي على الخدمة نفسها أم مقدميها؟,Digital Transformation,باعتقادك هل تؤثر الامبريالية في عملية احلال الاجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل ماموري سعادة المتعاملين؟ و هل التحول الالكتروني اسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الاداء دور رقابي علي الخدمة نفسها ام مقدميها؟,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: باعتقادك هل تؤثر الامبريالية في عملية احلال الاجراءات التراتيبية التسلسلية التي تقوّض عملية تقديم الخدمة للعملاء من قبل ماموري سعادة المتعاملين؟ و هل التحول الالكتروني اسهم في تسهيل و تقصير رحلة المتعامل؟ ومن منظورك الشخصي..هل لمؤشرات الاداء دور رقابي علي الخدمة نفسها ام مقدميها؟,,,,,,,,,1,2,0.17260742,0.2824707,0.5449219,1,None,Favor
44,  مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله يارب🤝,Covid Vaccine,مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله يارب🤝,Covid Vaccine,,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: مو كل اللي ماطعموا جتهم كورونا انا من فضل الله لا كورونا ولا تطعيم الحمدلله يارب🤝,,,,,,,,,1,2,0.2644043,0.014091492,0.7216797,1,None,Favor
119, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Covid Vaccine,اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,,,,,,,,,0,1,0.0715332,0.5673828,0.36108398,1,Against,None
134,      كما ذكرت  هذا التحول التقني (لا) بد أن يواكبه تحول على مستوى العقول,Digital Transformation,كما ذكرت هذا التحول التقني (لا) بد ان يواكبه تحول علي مستوي العقول,Digital Transformation,,1,Neutral,1,No,0,,,Not clear,Target: Digital Transformation Text: كما ذكرت هذا التحول التقني (لا) بد ان يواكبه تحول علي مستوي العقول,,,,,,,,,1,2,0.0025539398,0.024139404,0.97314453,1,None,Favor
164,إن أرادت الوزارة المضي قدمًا نحو التحول الإلكتروني  عليها أن تسد الفجوات وتستمع لمطالب المعلمين الذين هم أدرى بشعاب البيئة التعليمية وليست إدارات التعليم. فمتى يكون ذلك؟,Digital Transformation,ان ارادت الوزارة المضي قدمًا نحو التحول الالكتروني عليها ان تسد الفجوات وتستمع لمطالب المعلمين الذين هم ادري بشعاب البيئة التعليمية وليست ادارات التعليم. فمتي يكون ذلك؟,Digital Transformation,,1,Negative,0,No,0,,,Not clear,Target: Digital Transformation Text: ان ارادت الوزارة المضي قدمًا نحو التحول الالكتروني عليها ان تسد الفجوات وتستمع لمطالب المعلمين الذين هم ادري بشعاب البيئة التعليمية وليست ادارات التعليم. فمتي يكون ذلك؟,,,,,,,,,1,2,0.010978699,0.07312012,0.9160156,1,None,Favor
186, التحول الرقمي وانتو ما تردو علي المتابعين!  تحول رقمي وهذا البرنامج الي معتمدين عليه؟ URL,Digital Transformation,التحول الرقمي وانتو ما تردو علي المتابعين! تحول رقمي وهذا البرنامج الي معتمدين عليه؟,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: التحول الرقمي وانتو ما تردو علي المتابعين! تحول رقمي وهذا البرنامج الي معتمدين عليه؟,,,,,,,,,0,1,0.27197266,0.6694336,0.05847168,1,Against,None
288, يسلمك ربي من كل شر يا بو يعقوب 🌷 هذا اللي أخذناه من تطعيم كورونا وأنا أختك 🤦🏻‍♀️ الله المستعان والحمدلله على كل حال,Covid Vaccine,يسلمك ربي من كل شر يا بو يعقوب 🌷 هذا اللي اخذناه من تطعيم كورونا وانا اختك 🤦🏻‍♀️ الله المستعان والحمدلله علي كل حال,Covid Vaccine,,1,Neutral,1,No,0,,,Not clear,Target: Covid Vaccine Text: يسلمك ربي من كل شر يا بو يعقوب 🌷 هذا اللي اخذناه من تطعيم كورونا وانا اختك 🤦🏻‍♀️ الله المستعان والحمدلله علي كل حال,,,,,,,,,1,2,0.0105896,0.0041542053,0.98535156,1,None,Favor
292,كالعادة الخدمات الحكومية اعفن من قبل الرؤية  واللي يغبن تفتح تويتر تلقى لهم مدح لييين آمين على التحول الالكتروني فمايمديك حتى تنتقدهم,Digital Transformation,كالعادة الخدمات الحكومية اعفن من قبل الرؤية واللي يغبن تفتح تويتر تلقي لهم مدح ليين امين علي التحول الالكتروني فمايمديك حتي تنتقدهم,Digital Transformation,,1,Negative,0,No,0,,,Not clear,Target: Digital Transformation Text: كالعادة الخدمات الحكومية اعفن من قبل الرؤية واللي يغبن تفتح تويتر تلقي لهم مدح ليين امين علي التحول الالكتروني فمايمديك حتي تنتقدهم,,,,,,,,,1,0,0.81884766,0.028289795,0.15307617,1,None,Against
309,"وجه معالي #وزير_العدل د. وليد الصمعاني بإطلاق خدمة "" التقاضي عن بعد"" وأقر دليلها الإجرائي  ضمن جهود الوزارة لاستكمال منظومة التحول الرقمي ودعم سرعة الإنجاز وجودة المخرجات  وتفعيل وتكامل مسار التقاضي الإلكتروني.  URL  #وزارة_العدل URL",Digital Transformation,"وجه معالي #وزير العدل د. وليد الصمعاني باطلاق خدمة "" التقاضي عن بعد"" واقر دليلها الاجرائي ضمن جهود الوزارة لاستكمال منظومة التحول الرقمي ودعم سرعة الانجاز وجودة المخرجات وتفعيل وتكامل مسار التقاضي الالكتروني. #وزارة العدل",Digital Transformation,,1,Neutral,1,No,0,,,Not clear,"Target: Digital Transformation Text: وجه معالي #وزير العدل د. وليد الصمعاني باطلاق خدمة "" التقاضي عن بعد"" واقر دليلها الاجرائي ضمن جهود الوزارة لاستكمال منظومة التحول الرقمي ودعم سرعة الانجاز وجودة المخرجات وتفعيل وتكامل مسار التقاضي الالكتروني. #وزارة العدل",,,,,,,,,1,2,0.0056991577,0.024795532,0.96972656,1,None,Favor
333, كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الى بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Digital Transformation,كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الي بنك عدل مثل الانماء والله خدماتهم تفتح النفس,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: كل خدماتهم راجع الفرع . وين التحول الالكتروني . اقسم بالله ندمت اشد الندم وان شاء الله جاري الانتقال الي بنك عدل مثل الانماء والله خدماتهم تفتح النفس,,,,,,,,,0,2,0.078125,0.00907135,0.91259766,1,Against,Favor
