ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
218,رسمياً...  بدأ اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين.  لا كمامات  لا تباعد  لا إغلاق  وسيُقام غداً حفل سيضم 50 000 شخص بلا أي إجراءات صحية. URL,Covid Vaccine,رسمياً.. بدا اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين. لا كمامات لا تباعد لا اغلاق وسيُقام غداً حفل سيضم 50 00 شخص بلا اي اجراءات صحية.,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Implicit,,,Target: Covid Vaccine Text: رسمياً.. بدا اليوم سريان قانون عودة الحياة الطبيعية كما كانت سابقاً قبل كورونا في الدنمارك بعد تطعيم 73% من الشعب بالجرعتين. لا كمامات لا تباعد لا اغلاق وسيُقام غداً حفل سيضم 50 00 شخص بلا اي اجراءات صحية.,,,,,,,,,2,1,0.03805542,0.9350586,0.026763916,1,0.9350586,0.2840818463084077,Favor,None
399,  قالوا اما تطعيم واما فحص كورونا فأنت مطلوب منك كورونا... والله اعلم,Covid Vaccine,قالوا اما تطعيم واما فحص كورونا فانت مطلوب منك كورونا.. والله اعلم,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: قالوا اما تطعيم واما فحص كورونا فانت مطلوب منك كورونا.. والله اعلم,,,,,,,,,2,1,0.40429688,0.59228516,0.003232956,1,0.59228516,0.6948919990373564,Favor,None
431,بحضور رئيس مجلس إدارة جمعية خير لتحفيظ القرآن بالأحساء أ.د عبدالله بن عبدالرحمن السلطان والجهاز التنفيذي بالجمعية  تم تقديم عرض تعريفي عن #نظام_رافد_الألكتروني لإدارة الجمعيات الأهلية وأهمية #التحول_الرقمي في القطاع غير الربحي تماشيا مع     URL,Digital Transformation,بحضور رئيس مجلس ادارة جمعية خير لتحفيظ القران بالاحساء ا.د عبدالله بن عبدالرحمن السلطان والجهاز التنفيذي بالجمعية تم تقديم عرض تعريفي عن #نظام رافد الالكتروني لادارة الجمعيات الاهلية واهمية #التحول الرقمي في القطاع غير الربحي تماشيا مع,Digital Transformation,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Digital Transformation Text: بحضور رئيس مجلس ادارة جمعية خير لتحفيظ القران بالاحساء ا.د عبدالله بن عبدالرحمن السلطان والجهاز التنفيذي بالجمعية تم تقديم عرض تعريفي عن #نظام رافد الالكتروني لادارة الجمعيات الاهلية واهمية #التحول الرقمي في القطاع غير الربحي تماشيا مع,,,,,,,,,2,1,0.0018062592,0.6611328,0.3371582,1,0.6611328,0.6515457628239818,Favor,None
689, في عشوائية كثيرة بالسوق العقاري ربما مع التحول الالكتروني يطوله بعض التنظيم,Digital Transformation,في عشوائية كثيرة بالسوق العقاري ربما مع التحول الالكتروني يطوله بعض التنظيم,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: في عشوائية كثيرة بالسوق العقاري ربما مع التحول الالكتروني يطوله بعض التنظيم,,,,,,,,,2,1,0.0018405914,0.87353516,0.12475586,1,0.87353516,0.3893658330639559,Favor,None
876,جانب من معكسر الحياة لتطوير المشاريع الصغيرة بالشراكة مع شركة تمر   والذي يقدم اليوم التسويق للمشاريع الصغيرة مع أ. اشجان السليماني  ذلك للمساهمة في تمكين المرأة من خلال البدء في تحسين و تطوير مشاريعهن. URL,Women empowerment,جانب من معكسر الحياة لتطوير المشاريع الصغيرة بالشراكة مع شركة تمر والذي يقدم اليوم التسويق للمشاريع الصغيرة مع ا. اشجان السليماني ذلك للمساهمة في تمكين المراة من خلال البدء في تحسين و تطوير مشاريعهن.,Women empowerment,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Women empowerment Text: جانب من معكسر الحياة لتطوير المشاريع الصغيرة بالشراكة مع شركة تمر والذي يقدم اليوم التسويق للمشاريع الصغيرة مع ا. اشجان السليماني ذلك للمساهمة في تمكين المراة من خلال البدء في تحسين و تطوير مشاريعهن.,,,,,,,,,2,1,0.012825012,0.9785156,0.008415222,1,0.9785156,0.1173277986477852,Favor,None
905,تو اللي شاد حيله يخبر الناس كورونا خدعة و مؤامرة ولا حد ياخذ تطعيم وغيره... نبلغ عليه؟ 🙂 هذا ما يعتبر من نشر الإشاعات؟ أو الدعوة لمخالفة قرارات اللجنة العليا ؟  ,Covid Vaccine,تو اللي شاد حيله يخبر الناس كورونا خدعة و مؤامرة ولا حد ياخذ تطعيم وغيره.. نبلغ عليه؟ 🙂 هذا ما يعتبر من نشر الاشاعات؟ او الدعوة لمخالفة قرارات اللجنة العليا ؟,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: تو اللي شاد حيله يخبر الناس كورونا خدعة و مؤامرة ولا حد ياخذ تطعيم وغيره.. نبلغ عليه؟ 🙂 هذا ما يعتبر من نشر الاشاعات؟ او الدعوة لمخالفة قرارات اللجنة العليا ؟,,,,,,,,,2,1,0.19921875,0.5371094,0.26367188,1,0.5371094,1.0067399025872923,Favor,None
2726,ايش البنوك الي بالفعل مطبقة نظام التحول الرقمي او الإلكتروني..  ملينا من متابعة المعاملات,Digital Transformation,ايش البنوك الي بالفعل مطبقة نظام التحول الرقمي او الالكتروني.. ملينا من متابعة المعاملات,Digital Transformation,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Digital Transformation Text: ايش البنوك الي بالفعل مطبقة نظام التحول الرقمي او الالكتروني.. ملينا من متابعة المعاملات,,,,,,,,,2,1,0.017807007,0.9013672,0.08093262,1,0.9013672,0.3688056076613593,Favor,None
2821,الناس اللي للحين مااخدو تطعيم كورونا ..لو سمحتو خلصونا عاد ترى نبي نسافر ونعيش وننبسط خلصووووووونا,Covid Vaccine,الناس اللي للحين مااخدو تطعيم كورونا ..لو سمحتو خلصونا عاد تري نبي نسافر ونعيش وننبسط خلصوونا,Covid Vaccine,Favor,2,Positive,2,No,0,F_Explicit,,,Target: Covid Vaccine Text: الناس اللي للحين مااخدو تطعيم كورونا ..لو سمحتو خلصونا عاد تري نبي نسافر ونعيش وننبسط خلصوونا,,,,,,,,,2,1,0.00087451935,0.74658203,0.2524414,1,0.74658203,0.5718514644813242,Favor,None
3052,MENTION لو بنختار بنفسنا كل دوا ناخذه وكل تطعيم عيل لازم الكل يدرس ويختص بكل تخصصات الطب عشان يفهم. احنا ناخذ أدوية ما نعرف مكوناتها و تطعمنا من صغرنا تطعيمات ماندري شنو اهيا وقفت على تطعيم كورونا؟,Covid Vaccine,مستخدم لو بنختار بنفسنا كل دوا ناخذه وكل تطعيم عيل لازم الكل يدرس ويختص بكل تخصصات الطب عشان يفهم. احنا ناخذ ادوية ما نعرف مكوناتها و تطعمنا من صغرنا تطعيمات ماندري شنو اهيا وقفت علي تطعيم كورونا؟,Covid Vaccine,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Covid Vaccine Text: مستخدم لو بنختار بنفسنا كل دوا ناخذه وكل تطعيم عيل لازم الكل يدرس ويختص بكل تخصصات الطب عشان يفهم. احنا ناخذ ادوية ما نعرف مكوناتها و تطعمنا من صغرنا تطعيمات ماندري شنو اهيا وقفت علي تطعيم كورونا؟,,,,,,,,,2,1,0.10107422,0.8691406,0.02986145,1,0.8691406,0.458398448110912,Favor,None
3810,دور الشركات في تمكين المرأة!  via ,Women empowerment,دور الشركات في تمكين المراة! via,Women empowerment,Favor,2,Neutral,1,No,0,F_Explicit,,,Target: Women empowerment Text: دور الشركات في تمكين المراة! via,,,,,,,,,2,1,0.002002716,0.81884766,0.17919922,1,0.81884766,0.4841855308357112,Favor,None
