ID,text_original,target_original,text_clean,target_clean,stance,stance_id,sentiment,sentiment_id,sarcasm,sarcasm_id,favor_reason,against_reason,none_reason,model_input,target_id,text,target,stance:confidence,sarcasm:confidence,sentiment:confidence,datetime,Date,true_label,pred_label,p_against,p_none,p_favor,fold,max_probability,prediction_entropy,true_name,pred_name
119, اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم   يجب ان نتعايش معه,Covid Vaccine,اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,Covid Vaccine,Against,0,Negative,0,No,0,,A_Explicit,,Target: Covid Vaccine Text: اقسم بالله لن ينتهي كورونا لو يتم تطعيم جميع العالم يجب ان نتعايش معه,,,,,,,,,0,1,0.26171875,0.703125,0.03515625,1,0.703125,0.7161865856661775,Against,None
209, فاهمين تمكين المرأة غلط ههههههههههههههههههههههههههههههههههههههههه,Women empowerment,فاهمين تمكين المراة غلط هه,Women empowerment,Against,0,Neutral,1,Yes,1,,A_Explicit,,Target: Women empowerment Text: فاهمين تمكين المراة غلط هه,,,,,,,,,0,1,0.05303955,0.92871094,0.018341064,1,0.92871094,0.2977863461097342,Against,None
239, بالذات الحلقة بتاعت التحول الرقمي والتعامل الإلكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,Digital Transformation,بالذات الحلقة بتاعت التحول الرقمي والتعامل الالكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: بالذات الحلقة بتاعت التحول الرقمي والتعامل الالكتروني في المؤسسات الحكومية دا بس زكرني ليك ناس الشبكة قاطعة وزمن الفطور جا,,,,,,,,,0,1,0.0012598038,0.5449219,0.45361328,1,0.5449219,0.6978264635702236,Against,None
1156,  سلملي على تمكين المراه,Women empowerment,سلملي علي تمكين المراه,Women empowerment,Against,0,Negative,0,Yes,1,,A_Explicit,,Target: Women empowerment Text: سلملي علي تمكين المراه,,,,,,,,,0,1,0.009727478,0.53515625,0.45507812,1,0.53515625,0.737920006306102,Against,None
1546, الظاهر أن تقديم الزانية في الآية يشعر بأن الزنى لا يقع في الأغلب اذا امتنعت المرأة عن تمكين الرجل وان كان كلاهما مشترك في الاثم والعقاب,Women empowerment,الظاهر ان تقديم الزانية في الاية يشعر بان الزني لا يقع في الاغلب اذا امتنعت المراة عن تمكين الرجل وان كان كلاهما مشترك في الاثم والعقاب,Women empowerment,Against,0,Negative,0,No,0,,A_Explicit,,Target: Women empowerment Text: الظاهر ان تقديم الزانية في الاية يشعر بان الزني لا يقع في الاغلب اذا امتنعت المراة عن تمكين الرجل وان كان كلاهما مشترك في الاثم والعقاب,,,,,,,,,0,1,0.0038280487,0.9838867,0.012420654,1,0.9838867,0.0917941306703185,Against,None
1757, السلام عليكم   هل يستغرق تحديث الصك أكثر من شهرين خصوصاً وأن الصك ليس بالقديم والمساحه ليست كبيره .   عند الدخول للموقع (لايزال تحت الأجراء) منذثلاثه أشهر ... اذا كان الهدف من التحول الالكتروني سرعه الأداء والأنجاز        فهذا مالم يتحقق وهناك  مش,Digital Transformation,السلام عليكم هل يستغرق تحديث الصك اكثر من شهرين خصوصاً وان الصك ليس بالقديم والمساحه ليست كبيره . عند الدخول للموقع (لايزال تحت الاجراء) منذثلاثه اشهر .. اذا كان الهدف من التحول الالكتروني سرعه الاداء والانجاز فهذا مالم يتحقق وهناك مش,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: السلام عليكم هل يستغرق تحديث الصك اكثر من شهرين خصوصاً وان الصك ليس بالقديم والمساحه ليست كبيره . عند الدخول للموقع (لايزال تحت الاجراء) منذثلاثه اشهر .. اذا كان الهدف من التحول الالكتروني سرعه الاداء والانجاز فهذا مالم يتحقق وهناك مش,,,,,,,,,0,1,0.054138184,0.9213867,0.024475098,1,0.9213867,0.3241226130611185,Against,None
2678,  تروح مكاتب الوساطه ويضربو عليك فلوس علشان الموعد فقط هل هذا هو التحول الالكتروني,Digital Transformation,تروح مكاتب الوساطه ويضربو عليك فلوس علشان الموعد فقط هل هذا هو التحول الالكتروني,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: تروح مكاتب الوساطه ويضربو عليك فلوس علشان الموعد فقط هل هذا هو التحول الالكتروني,,,,,,,,,0,1,0.18713379,0.8100586,0.002937317,1,0.8100586,0.5013865060132171,Against,None
3377, التحول التقني من أمس أراسلهم و محد يرد   الشهادة ما وصلت للحين ردوا,Digital Transformation,التحول التقني من امس اراسلهم و محد يرد الشهادة ما وصلت للحين ردوا,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: التحول التقني من امس اراسلهم و محد يرد الشهادة ما وصلت للحين ردوا,,,,,,,,,0,1,0.3408203,0.65478516,0.004425049,1,0.65478516,0.6681123364516282,Against,None
3401, لا تستطيع تلبية احتياجات مواطنينها كيف لها ان توفر احتياجات التحول للعمل الالكتروني بكافة الجهات الحكومية 🤔,Digital Transformation,لا تستطيع تلبية احتياجات مواطنينها كيف لها ان توفر احتياجات التحول للعمل الالكتروني بكافة الجهات الحكومية 🤔,Digital Transformation,Against,0,Negative,0,No,0,,A_Explicit,,Target: Digital Transformation Text: لا تستطيع تلبية احتياجات مواطنينها كيف لها ان توفر احتياجات التحول للعمل الالكتروني بكافة الجهات الحكومية 🤔,,,,,,,,,0,1,0.15100098,0.82910156,0.019866943,1,0.82910156,0.518699313417051,Against,None
3458, حتى الأجنه لها تطعيم والله اني مدري إلى إذا كان كورونا له 50 سنة موجود ولا 100 على شان يمدي يسوون لقاح حوامل :على الله مقدر المقادير,Covid Vaccine,حتي الاجنه لها تطعيم والله اني مدري الي اذا كان كورونا له 50 سنة موجود ولا 100 علي شان يمدي يسوون لقاح حوامل :علي الله مقدر المقادير,Covid Vaccine,Against,0,Negative,0,Yes,1,,,,Target: Covid Vaccine Text: حتي الاجنه لها تطعيم والله اني مدري الي اذا كان كورونا له 50 سنة موجود ولا 100 علي شان يمدي يسوون لقاح حوامل :علي الله مقدر المقادير,,,,,,,,,0,1,0.011405945,0.98046875,0.008300781,1,0.98046875,0.1101375404196713,Against,None
